Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Omni 1:2	14	much	much	much	much	much	much	much	much
Omni 1:2	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	15	with	with	with	with	with	with	with	with
Omni 1:2	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	16	the	the	the	the	the	the	the	the
Omni 1:2	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	17	sword	sword	sword	sword	sword	sword	sword	sword
Omni 1:2	17.01	,	,	,	,	∅	∅	∅	∅
Omni 1:2	17.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	18	to	to	to	to	to	to	to	to
Omni 1:2	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	19	preserve	preserve	preserve	preserve	preserve	preserve	preserve	preserve
Omni 1:2	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	20	my	my	my	my	my	my	my	my
Omni 1:2	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	21	people	people	people	people	people	people	people	people
Omni 1:2	21.01	,	,	,	,	,	,	,	,
Omni 1:2	21.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	22	the	the	the	the	the	the	the	the
Omni 1:2	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	23	Nephites	Nephites	Nephites	Nephites	Nephites	Nephites	Nephites	Nephites
Omni 1:2	23.01	,	,	,	,	,	,	,	,
Omni 1:2	23.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	24	from	from	from	from	from	from	from	from
Omni 1:2	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	25	falling	falling	falling	falling	falling	falling	falling	falling
Omni 1:2	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	26	into	into	into	into	into	into	into	into
Omni 1:2	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	27	the	the	the	the	the	the	the	the
Omni 1:2	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	28	hands	hands	hands	hands	hands	hands	hands	hands
Omni 1:2	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	29	of	of	of	of	of	of	of	of
Omni 1:2	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	30	their	their	their	their	their	their	their	their
Omni 1:2	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	31	enemies	enemies	enemies	enemies	enemies	enemies	enemies	enemies
Omni 1:2	31.01	,	,	,	,	,	,	,	,
Omni 1:2	31.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	32	the	the	the	the	the	the	the	the
Omni 1:2	32.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	33	Lamanites	Lamanites	Lamanites	Lamanites	Lamanites	Lamanites	Lamanites	Lamanites
