Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Ether 1:2	14	found	found	found	found	found	found	found	found
Ether 1:2	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	15	by	by	by	by	by	by	by	by
Ether 1:2	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	16	the	the	the	the	the	the	the	the
Ether 1:2	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	17	people	people	people	people	people	people	people	people
Ether 1:2	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	18	of	of	of	of	of	of	of	of
Ether 1:2	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	19	Limhi	Limhi	Limhi	Limhi	Limhi	Limhi	Limhi	Limhi
Ether 1:2	19.01	,	,	,	,	,	,	,	,
Ether 1:2	19.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	20	which	which	which	which	which	which	which	which
Ether 1:2	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	21	is	is	is	is	is	is	is	is
Ether 1:2	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	22	called	called	called	called	called	called	called	called
Ether 1:2	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	23	the	the	the	the	the	the	the	the
Ether 1:2	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	24	Book	book	book	book	book	Book	Book	Book
Ether 1:2	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	25	of	of	of	of	of	of	of	of
Ether 1:2	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:2	26	Ether	Ether	Ether	Ether	Ether	Ether	Ether	Ether
Ether 1:2	26.01	.	.	.	.	.	.	.	.
Ether 1:3	1	And	And	And	And	And	And	And	And
Ether 1:3	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	2	as	as	as	as	as	as	as	as
