Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
1 Nephi 1:1	1	I	I	I	I	I	I	I	I
1 Nephi 1:1	1.01	,	,	,	,	,	,	,	,
1 Nephi 1:1	1.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	2	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi
1 Nephi 1:1	2.01	,	,	,	,	,	,	,	,
1 Nephi 1:1	2.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	3	having	having	having	having	having	having	having	having
1 Nephi 1:1	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	4	been	been	been	been	been	been	been	been
1 Nephi 1:1	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	5	born	born	born	born	born	born	born	born
1 Nephi 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	6	of	of	of	of	of	of	of	of
1 Nephi 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	7	goodly	goodly	goodly	goodly	goodly	goodly	goodly	goodly
1 Nephi 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	8	parents	parents	parents	parents	parents	parents	parents	parents
1 Nephi 1:1	8.01	,	,	,	,	,	,	,	,
1 Nephi 1:1	8.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	9	therefore	therefore	therefore	therefore	therefore	therefore	therefore	therefore
1 Nephi 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	10	I	I	I	I	I	I	I	I
1 Nephi 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	11	was	was	was	was	was	was	was	was
1 Nephi 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	12	taught	taught	taught	taught	taught	taught	taught	taught
1 Nephi 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	13	somewhat	somewhat	somewhat	somewhat	somewhat	somewhat	somewhat	somewhat
1 Nephi 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	14	in	in	in	in	in	in	in	in
1 Nephi 1:1	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	15	all	all	all	all	all	all	all	all
1 Nephi 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	16	the	the	the	the	the	the	the	the
1 Nephi 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	17	learning	learning	learning	learning	learning	learning	learning	learning
1 Nephi 1:1	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	18	of	of	of	of	of	of	of	of
1 Nephi 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	19	my	my	my	my	my	my	my	my
1 Nephi 1:1	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	20	father	father	father	father	father	father	father	father
1 Nephi 1:1	20.01	;	;	;	;	;	;	;	;
1 Nephi 1:1	20.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	21	and	and	and	and	and	and	and	and
1 Nephi 1:1	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	22	having	have	having	having	having	having	having	having
1 Nephi 1:1	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	23	seen	seen	seen	seen	seen	seen	seen	seen
1 Nephi 1:1	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	24	many	many	many	many	many	many	many	many
1 Nephi 1:1	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	25	afflictions	afflictions	afflictions	afflictions	afflictions	afflictions	afflictions	afflictions
1 Nephi 1:1	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	26	in	in	in	in	in	in	in	in
1 Nephi 1:1	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	27	the	the	the	the	the	the	the	the
1 Nephi 1:1	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	28	course	course	course	course	course	course	course	course
1 Nephi 1:1	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	29	of	of	of	of	of	of	of	of
1 Nephi 1:1	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	30	my	my	my	my	my	my	my	my
1 Nephi 1:1	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	31	days	days	days	days	days	days	days	days
1 Nephi 1:1	31.01	—	—	—	—	—	,	,	,
1 Nephi 1:1	31.02	∅	∅	∅	∅	∅	⌴	⌴	⌴
1 Nephi 1:1	32	nevertheless	nevertheless	nevertheless	nevertheless	nevertheless	nevertheless	nevertheless	nevertheless
1 Nephi 1:1	32.01	,	,	,	,	,	,	,	,
1 Nephi 1:1	32.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	33	having	having	having	having	having	having	having	having
1 Nephi 1:1	33.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	34	been	been	been	been	been	been	been	been
1 Nephi 1:1	34.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	35	highly	highly	highly	highly	highly	highly	highly	highly
1 Nephi 1:1	35.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	36	favored	favored	favored	favored	favoured	favored	favored	favored
1 Nephi 1:1	36.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	37	of	of	of	of	of	of	of	of
1 Nephi 1:1	37.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	38	the	the	the	the	the	the	the	the
1 Nephi 1:1	38.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	39	Lord	Lord	Lord	Lord	Lord	Lord	Lord	Lord
1 Nephi 1:1	39.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	40	in	in	in	in	in	in	in	in
1 Nephi 1:1	40.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	41	all	all	all	all	all	all	all	all
1 Nephi 1:1	41.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	42	my	my	my	my	my	my	my	my
1 Nephi 1:1	42.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	43	days	days	days	days	days	days	days	days
1 Nephi 1:1	43.01	;	;	;	;	;	;	;	;
1 Nephi 1:1	43.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	44	yea	yea	yea	yea	yea	yea	yea	yea
1 Nephi 1:1	44.01	,	,	,	,	,	,	,	,
1 Nephi 1:1	44.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	45	having	having	having	having	having	having	having	having
1 Nephi 1:1	45.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	46	had	had	had	had	had	had	had	had
1 Nephi 1:1	46.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	47	a	a	a	a	a	a	a	a
1 Nephi 1:1	47.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	48	great	great	great	great	great	great	great	great
1 Nephi 1:1	48.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	49	knowledge	knowledge	knowledge	knowledge	knowledge	knowledge	knowledge	knowledge
1 Nephi 1:1	49.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	50	of	of	of	of	of	of	of	of
1 Nephi 1:1	50.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	51	the	the	the	the	the	the	the	the
1 Nephi 1:1	51.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	52	goodness	goodness	goodness	goodness	goodness	goodness	goodness	goodness
1 Nephi 1:1	52.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	53	and	and	and	and	and	and	and	and
1 Nephi 1:1	53.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	54	the	the	the	the	the	the	the	the
1 Nephi 1:1	54.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	55	mysteries	mysteries	mysteries	mysteries	mysteries	mysteries	mysteries	mysteries
1 Nephi 1:1	55.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	56	of	of	of	of	of	of	of	of
1 Nephi 1:1	56.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	57	God	God	God	God	God	God	God	God
1 Nephi 1:1	57.01	,	,	,	,	,	,	,	,
1 Nephi 1:1	57.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	58	therefore	therefore	therefore	therefore	therefore	therefore	therefore	therefore
1 Nephi 1:1	58.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	59	I	I	I	I	I	I	I	I
1 Nephi 1:1	59.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	60	make	make	make	make	make	make	make	make
1 Nephi 1:1	60.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	61	a	a	a	a	a	a	a	a
1 Nephi 1:1	61.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	62	record	record	record	record	record	record	record	record
1 Nephi 1:1	62.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	63	of	of	of	of	of	of	of	of
1 Nephi 1:1	63.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	64	my	my	my	my	my	my	my	my
1 Nephi 1:1	64.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	65	proceedings	proceedings	proceedings	proceedings	proceedings	proceedings	proceedings	proceedings
1 Nephi 1:1	65.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	66	in	in	in	in	in	in	in	in
1 Nephi 1:1	66.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	67	my	my	my	my	my	my	my	my
1 Nephi 1:1	67.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:1	68	days	days	days	days	days	days	days	days
1 Nephi 1:1	68.01	;	;	;	;	;	.	.	.
1 Nephi 1:2	1	yea	yea	yea	yea	Yea	Yea	Yea	Yea
1 Nephi 1:2	1.01	,	,	,	,	,	,	,	,
1 Nephi 1:2	1.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	2	I	I	I	I	I	I	I	I
1 Nephi 1:2	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	3	make	make	make	make	make	make	make	make
1 Nephi 1:2	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	4	a	a	a	a	a	a	a	a
1 Nephi 1:2	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	5	record	record	record	record	record	record	record	record
1 Nephi 1:2	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	6	in	in	in	in	in	in	in	in
1 Nephi 1:2	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	7	the	the	the	the	the	the	the	the
1 Nephi 1:2	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	8	language	language	language	language	language	language	language	language
1 Nephi 1:2	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	9	of	of	of	of	of	of	of	of
1 Nephi 1:2	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	10	my	my	my	my	my	my	my	my
1 Nephi 1:2	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	11	father	father	father	father	father	father	father	father
1 Nephi 1:2	11.01	,	,	,	,	,	,	,	,
1 Nephi 1:2	11.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	12	which	which	which	which	which	which	which	which
1 Nephi 1:2	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	13	consists	consists	consists	consists	consists	consists	consists	consists
1 Nephi 1:2	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	14	of	of	of	of	of	of	of	of
1 Nephi 1:2	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	15	the	the	the	the	the	the	the	the
1 Nephi 1:2	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	16	learning	learning	learning	learning	learning	learning	learning	learning
1 Nephi 1:2	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	17	of	of	of	of	of	of	of	of
1 Nephi 1:2	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	18	the	the	the	the	the	the	the	the
1 Nephi 1:2	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	19	Jews	Jews	Jews	Jews	Jews	Jews	Jews	Jews
1 Nephi 1:2	19.01	∅	∅	∅	∅	,	∅	∅	∅
1 Nephi 1:2	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	20	and	and	and	and	and	and	and	and
1 Nephi 1:2	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	21	the	the	the	the	the	the	the	the
1 Nephi 1:2	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	22	language	language	language	language	language	language	language	language
1 Nephi 1:2	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	23	of	of	of	of	of	of	of	of
1 Nephi 1:2	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	24	the	the	the	the	the	the	the	the
1 Nephi 1:2	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:2	25	Egyptians	Egyptians	Egyptians	Egyptians	Egyptians	Egyptians	Egyptians	Egyptians
1 Nephi 1:2	25.01	.	.	.	.	.	.	.	.
1 Nephi 1:3	1	And	And	And	And	And	And	And	And
1 Nephi 1:3	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	2	I	I	I	I	I	I	I	I
1 Nephi 1:3	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	3	know	know	know	know	know	know	know	know
1 Nephi 1:3	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	4	that	that	that	that	that	that	that	that
1 Nephi 1:3	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	5	the	the	the	the	the	the	the	the
1 Nephi 1:3	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	6	record	record	record	record	record	record	record	record
1 Nephi 1:3	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	7	which	which	which	which	which	which	which	which
1 Nephi 1:3	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	8	I	I	I	I	I	I	I	I
1 Nephi 1:3	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	9	make	make	make	make	make	make	make	make
1 Nephi 1:3	9.01	,	,	∅	∅	∅	∅	∅	∅
1 Nephi 1:3	9.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	10	to be	is	is	is	is	is	is	is
1 Nephi 1:3	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	11	true	true	true	true	true	true	true	true
1 Nephi 1:3	11.01	;	;	;	;	;	;	;	;
1 Nephi 1:3	11.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	12	and	and	and	and	and	and	and	and
1 Nephi 1:3	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	13	I	I	I	I	I	I	I	I
1 Nephi 1:3	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	14	make	make	make	make	make	make	make	make
1 Nephi 1:3	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	15	it	it	it	it	it	it	it	it
1 Nephi 1:3	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	16	with	with	with	with	with	with	with	with
1 Nephi 1:3	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	17	mine	mine	mine	mine	mine	mine	mine	mine
1 Nephi 1:3	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	18	own	own	own	own	own	own	own	own
1 Nephi 1:3	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	19	hand	hand	hand	hand	hand	hand	hand	hand
1 Nephi 1:3	19.01	;	;	;	;	;	;	;	;
1 Nephi 1:3	19.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	20	and	and	and	and	and	and	and	and
1 Nephi 1:3	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	21	I	I	I	I	I	I	I	I
1 Nephi 1:3	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	22	make	make	make	make	make	make	make	make
1 Nephi 1:3	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	23	it	it	it	it	it	it	it	it
1 Nephi 1:3	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	24	according	according	according	according	according	according	according	according
1 Nephi 1:3	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	25	to	to	to	to	to	to	to	to
1 Nephi 1:3	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	26	my	my	my	my	my	my	my	my
1 Nephi 1:3	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:3	27	knowledge	knowledge	knowledge	knowledge	knowledge	knowledge	knowledge	knowledge
1 Nephi 1:3	27.01	.	.	.	.	.	.	.	.
1 Nephi 1:4	1	For	For	For	For	For	For	For	For
1 Nephi 1:4	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	2	it	it	it	it	it	it	it	it
1 Nephi 1:4	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	3	came	came	came	came	came	came	came	came
1 Nephi 1:4	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	4	to	to	to	to	to	to	to	to
1 Nephi 1:4	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	5	pass	pass	pass	pass	pass	pass	pass	pass
1 Nephi 1:4	5.01	,	,	,	,	∅	∅	∅	∅
1 Nephi 1:4	5.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	6	in	in	in	in	in	in	in	in
1 Nephi 1:4	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	7	the	the	the	the	the	the	the	the
1 Nephi 1:4	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	8	commencement	commencement	commencement	commencement	commencement	commencement	commencement	commencement
1 Nephi 1:4	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	9	of	of	of	of	of	of	of	of
1 Nephi 1:4	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	10	the	the	the	the	the	the	the	the
1 Nephi 1:4	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	11	first	first	first	first	first	first	first	first
1 Nephi 1:4	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	12	year	year	year	year	year	year	year	year
1 Nephi 1:4	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	13	of	of	of	of	of	of	of	of
1 Nephi 1:4	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	14	the	the	the	the	the	the	the	the
1 Nephi 1:4	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	15	reign	reign	reign	reign	reign	reign	reign	reign
1 Nephi 1:4	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	16	of	of	of	of	of	of	of	of
1 Nephi 1:4	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	17	Zedekiah	Zedekiah	Zedekiah	Zedekiah	Zedekiah	Zedekiah	Zedekiah	Zedekiah
1 Nephi 1:4	17.01	,	,	,	,	,	,	,	,
1 Nephi 1:4	17.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	18	king	king	king	king	King	king	king	king
1 Nephi 1:4	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	19	of	of	of	of	of	of	of	of
1 Nephi 1:4	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	20	Judah	Judah	Judah	Judah	Judah	Judah	Judah	Judah
1 Nephi 1:4	20.01	,	,	,	,	,	,	,	,
1 Nephi 1:4	20.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	20.03	(	(	(	(	(	(	(	(
1 Nephi 1:4	21	my	my	my	my	my	my	my	my
1 Nephi 1:4	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	22	father	father	father	father	father	father	father	father
1 Nephi 1:4	22.01	∅	∅	∅	∅	∅	,	,	,
1 Nephi 1:4	22.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	23	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi
1 Nephi 1:4	23.01	∅	∅	∅	∅	,	,	,	,
1 Nephi 1:4	23.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	24	having	having	having	having	having	having	having	having
1 Nephi 1:4	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	25	dwelt	dwelt	dwelt	dwelt	dwelt	dwelt	dwelt	dwelt
1 Nephi 1:4	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	26	at	at	at	at	at	at	at	at
1 Nephi 1:4	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	27	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jerusalem
1 Nephi 1:4	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	28	in	in	in	in	in	in	in	in
1 Nephi 1:4	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	29	all	all	all	all	all	all	all	all
1 Nephi 1:4	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
1 Nephi 1:4	30	his	his	his	his	his	his	his	his
1 Nephi 1:4	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
