Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
4 Nephi 1:1	1	And	And	And	And	And	And	And	And
4 Nephi 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	2	it	it	it	it	it	it	it	it
4 Nephi 1:1	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	3	came	came	came	came	came	came	came	came
4 Nephi 1:1	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	4	to	to	to	to	to	to	to	to
4 Nephi 1:1	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	5	pass	pass	pass	pass	pass	pass	pass	pass
4 Nephi 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	6	that	that	that	that	that	that	that	that
4 Nephi 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	7	the	the	the	the	the	the	the	the
4 Nephi 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	8	thirty	thirty	thirty	thirty	thirty	thirty	thirty	thirty
4 Nephi 1:1	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	9	and	and	and	and	and	and	and	and
4 Nephi 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	10	fourth	fourth	fourth	fourth	fourth	fourth	fourth	fourth
4 Nephi 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	11	year	year	year	year	year	year	year	year
4 Nephi 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	12	passed	passed	passed	passed	passed	passed	passed	passed
4 Nephi 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	13	away	away	away	away	away	away	away	away
4 Nephi 1:1	13.01	,	,	,	,	,	,	,	,
4 Nephi 1:1	13.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	14	and	and	and	and	and	and	and	and
4 Nephi 1:1	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	15	also	also	also	also	also	also	also	also
4 Nephi 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	16	the	the	the	the	the	the	the	the
4 Nephi 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	17	thirty	thirty	thirty	thirty	thirty	thirty	thirty	thirty
4 Nephi 1:1	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	18	and	and	and	and	and	and	and	and
4 Nephi 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
4 Nephi 1:1	19	fifth	fifth	fifth	fifth	fifth	fifth	fifth	fifth
