Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
3 Nephi 1:1	1	Now	Now	Now	Now	Now	Now	Now	Now
3 Nephi 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	2	it	it	it	it	it	it	it	it
3 Nephi 1:1	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	3	came	came	came	came	came	came	came	came
3 Nephi 1:1	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	4	to	to	to	to	to	to	to	to
3 Nephi 1:1	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	5	pass	pass	pass	pass	pass	pass	pass	pass
3 Nephi 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	6	that	that	that	that	that	that	that	that
3 Nephi 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	7	the	the	the	the	the	the	the	the
3 Nephi 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	8	ninety	ninety	ninety	ninety	ninety	ninety	ninety	ninety
3 Nephi 1:1	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	9	and	and	and	and	and	and	and	and
3 Nephi 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	10	first	first	first	first	first	first	first	first
3 Nephi 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	11	year	year	year	year	year	year	year	year
3 Nephi 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	12	had	had	had	had	had	had	had	had
3 Nephi 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	13	passed	passed	passed	passed	passed	passed	passed	passed
3 Nephi 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	14	away	away	away	away	away	away	away	away
3 Nephi 1:1	14.01	;	;	;	;	∅	∅	∅	∅
3 Nephi 1:1	14.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	15	and	and	and	and	and	and	and	and
3 Nephi 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	16	it	it	it	it	it	it	it	it
3 Nephi 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	17	was	was	was	was	was	was	was	was
3 Nephi 1:1	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	18	six	six	six	six	six	six	six	six
3 Nephi 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	19	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred
3 Nephi 1:1	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	20	years	years	years	years	years	years	years	years
3 Nephi 1:1	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	21	from	from	from	from	from	from	from	from
3 Nephi 1:1	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	22	the	the	the	the	the	the	the	the
3 Nephi 1:1	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	23	time	time	time	time	time	time	time	time
3 Nephi 1:1	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	24	that	that	that	that	that	that	that	that
3 Nephi 1:1	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	25	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi
3 Nephi 1:1	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	26	left	left	left	left	left	left	left	left
3 Nephi 1:1	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	27	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jerusalem
3 Nephi 1:1	27.01	;	;	;	;	;	;	;	;
3 Nephi 1:1	27.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	28	and	and	and	and	and	and	and	and
3 Nephi 1:1	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	29	it	it	it	it	it	it	it	it
3 Nephi 1:1	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	30	was	was	was	was	was	was	was	was
3 Nephi 1:1	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	31	in	in	in	in	in	in	in	in
3 Nephi 1:1	31.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	32	the	the	the	the	the	the	the	the
3 Nephi 1:1	32.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	33	year	year	year	year	year	year	year	year
3 Nephi 1:1	33.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	34	that	that	that	that	that	that	that	that
3 Nephi 1:1	34.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	35	Lachoneus	Lachoneus	Lachoneus	Lachoneus	Lachoneus	Lachoneus	Lachoneus	Lachoneus
3 Nephi 1:1	35.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	36	was	was	was	was	was	was	was	was
3 Nephi 1:1	36.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	37	the	the	the	the	the	the	the	the
3 Nephi 1:1	37.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	38	Chief	chief	chief	chief	Chief	chief	chief	chief
3 Nephi 1:1	38.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	39	Judge	judge	judge	judge	Judge	judge	judge	judge
3 Nephi 1:1	39.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	40	and	and	and	and	and	and	and	and
3 Nephi 1:1	40.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	41	the	the	the	the	the	the	the	the
3 Nephi 1:1	41.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	42	governor	governor	governor	governor	Governor	governor	governor	governor
3 Nephi 1:1	42.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	43	over	over	over	over	over	over	over	over
3 Nephi 1:1	43.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	44	the	the	the	the	the	the	the	the
3 Nephi 1:1	44.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:1	45	land	land	land	land	land	land	land	land
3 Nephi 1:1	45.01	.	.	.	.	.	.	.	.
3 Nephi 1:2	1	And	And	And	And	And	And	And	And
3 Nephi 1:2	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:2	2	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi
3 Nephi 1:2	2.01	,	,	,	,	∅	,	,	,
3 Nephi 1:2	2.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
3 Nephi 1:2	3	the	the	the	the	the	the	the	the
