Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Jacob 1:1	38.01	.	.	.	.	.	.	.	.
Jacob 1:2	1	And	And	And	And	And	And	And	And
Jacob 1:2	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	2	he	he	he	he	he	he	he	he
Jacob 1:2	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	3	gave	gave	gave	gave	gave	gave	gave	gave
Jacob 1:2	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	4	me	me	me	me	me	me	me	me
Jacob 1:2	4.01	,	,	,	,	,	,	,	,
Jacob 1:2	4.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	5	Jacob	Jacob	Jacob	Jacob	Jacob	Jacob	Jacob	Jacob
Jacob 1:2	5.01	,	,	,	,	,	,	,	,
Jacob 1:2	5.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	6	a	a	a	a	a	a	a	a
Jacob 1:2	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	7	commandment	commandment	commandment	commandment	commandment	commandment	commandment	commandment
Jacob 1:2	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	8	that	that	that	that	that	that	that	that
Jacob 1:2	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	9	I	I	I	I	I	I	I	I
Jacob 1:2	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	10	should	should	should	should	should	should	should	should
Jacob 1:2	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	11	write	write	write	write	write	write	write	write
Jacob 1:2	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	12	upon	upon	upon	upon	upon	upon	upon	upon
Jacob 1:2	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	13	these	these	these	these	these	these	these	these
Jacob 1:2	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	14	plates	plates	plates	plates	plates	plates	plates	plates
Jacob 1:2	14.01	,	,	,	,	,	∅	∅	∅
Jacob 1:2	14.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	15	a	a	a	a	a	a	a	a
Jacob 1:2	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	16	few	few	few	few	few	few	few	few
Jacob 1:2	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	17	of	of	of	of	of	of	of	of
Jacob 1:2	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	18	the	the	the	the	the	the	the	the
Jacob 1:2	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	19	things	things	things	things	things	things	things	things
Jacob 1:2	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	20	which	which	which	which	which	which	which	which
Jacob 1:2	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	21	I	I	I	I	I	I	I	I
Jacob 1:2	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	22	considered	considered	considered	considered	considered	considered	considered	considered
Jacob 1:2	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	23	to	to	to	to	to	to	to	to
Jacob 1:2	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	24	be	be	be	be	be	be	be	be
Jacob 1:2	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	25	most	most	most	most	most	most	most	most
Jacob 1:2	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	26	precious	precious	precious	precious	precious	precious	precious	precious
Jacob 1:2	26.01	:	:	:	:	:	;	;	;
Jacob 1:2	26.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	27	that	that	that	that	that	that	that	that
Jacob 1:2	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	28	I	I	I	I	I	I	I	I
Jacob 1:2	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	29	should	should	should	should	should	should	should	should
Jacob 1:2	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	30	not	not	not	not	not	not	not	not
Jacob 1:2	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	31	touch	touch	touch	touch	touch	touch	touch	touch
Jacob 1:2	31.01	,	,	,	,	,	,	,	,
Jacob 1:2	31.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	32	save	save	save	save	save	save	save	save
Jacob 1:2	32.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	33	it	it	it	it	it	it	it	it
Jacob 1:2	33.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	34	were	were	were	were	were	were	were	were
Jacob 1:2	34.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	35	lightly	lightly	lightly	lightly	lightly	lightly	lightly	lightly
Jacob 1:2	35.01	,	,	,	,	,	,	,	,
Jacob 1:2	35.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	36	concerning	concerning	concerning	concerning	concerning	concerning	concerning	concerning
Jacob 1:2	36.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	37	the	the	the	the	the	the	the	the
Jacob 1:2	37.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	38	history	history	history	history	history	history	history	history
Jacob 1:2	38.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	39	of	of	of	of	of	of	of	of
Jacob 1:2	39.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	40	this	this	this	this	this	this	this	this
Jacob 1:2	40.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	41	people	people	people	people	people	people	people	people
Jacob 1:2	41.01	∅	∅	,	∅	∅	∅	∅	∅
Jacob 1:2	41.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	42	which	which	which	which	which	which	which	which
Jacob 1:2	42.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	43	are	are	are	are	are	are	are	are
Jacob 1:2	43.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	44	called	called	called	called	called	called	called	called
Jacob 1:2	44.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	45	the	the	the	the	the	the	the	the
Jacob 1:2	45.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
